Parameter,Value
Start Frequency,10.0
End Frequency,100.0
Frequency Duration,10.0
Smooth Transition,False
Pause Duration,1.0
Amplitude,0.5
Frequency Step,10.0
Total Duration,60.0
Gradual Amplitude Increase,False
Amplitude Rise Time,0.5
Amplitude Start,0.1
Amplitude End,0.2
Sample Rate,44100

Sample Number,Timestamp,Sine value,Frequency (Hz)
1,2025-04-09 16:44:04.346,0.0,10.0
221,2025-04-09 16:44:04.351,0.15415,10.0
441,2025-04-09 16:44:04.356,0.29331,10.0
661,2025-04-09 16:44:04.361,0.40385,10.0
881,2025-04-09 16:44:04.366,0.47508,10.0
1101,2025-04-09 16:44:04.371,0.49998,10.0
1321,2025-04-09 16:44:04.376,0.47618,10.0
1541,2025-04-09 16:44:04.381,0.40596,10.0
1761,2025-04-09 16:44:04.386,0.29618,10.0
1981,2025-04-09 16:44:04.391,0.15754,10.0
2201,2025-04-09 16:44:04.396,0.00354,10.0
2421,2025-04-09 16:44:04.401,-0.15076,10.0
2641,2025-04-09 16:44:04.406,-0.29041,10.0
2861,2025-04-09 16:44:04.411,-0.40175,10.0
3081,2025-04-09 16:44:04.416,-0.47395,10.0
3301,2025-04-09 16:44:04.421,-0.49995,10.0
3521,2025-04-09 16:44:04.426,-0.47725,10.0
3741,2025-04-09 16:44:04.431,-0.40803,10.0
3961,2025-04-09 16:44:04.436,-0.29905,10.0
4181,2025-04-09 16:44:04.441,-0.16092,10.0
4401,2025-04-09 16:44:04.446,-0.00711,10.0
4621,2025-04-09 16:44:04.451,0.14737,10.0
4841,2025-04-09 16:44:04.456,0.28751,10.0
5061,2025-04-09 16:44:04.461,0.39961,10.0
5281,2025-04-09 16:44:04.466,0.47279,10.0
5501,2025-04-09 16:44:04.471,0.49989,10.0
5721,2025-04-09 16:44:04.476,0.47829,10.0
5941,2025-04-09 16:44:04.481,0.41008,10.0
6161,2025-04-09 16:44:04.486,0.30189,10.0
6381,2025-04-09 16:44:04.491,0.16428,10.0
6601,2025-04-09 16:44:04.496,0.01068,10.0
6821,2025-04-09 16:44:04.501,-0.14396,10.0
7041,2025-04-09 16:44:04.506,-0.28459,10.0
7261,2025-04-09 16:44:04.511,-0.39747,10.0
7481,2025-04-09 16:44:04.516,-0.47163,10.0
7701,2025-04-09 16:44:04.521,-0.49983,10.0
7921,2025-04-09 16:44:04.525,-0.47932,10.0
8141,2025-04-09 16:44:04.530,-0.41209,10.0
8361,2025-04-09 16:44:04.535,-0.30473,10.0
8581,2025-04-09 16:44:04.540,-0.16764,10.0
8801,2025-04-09 16:44:04.545,-0.01422,10.0
9021,2025-04-09 16:44:04.550,0.14054,10.0
9241,2025-04-09 16:44:04.555,0.28166,10.0
9461,2025-04-09 16:44:04.560,0.39531,10.0
9681,2025-04-09 16:44:04.565,0.47044,10.0
9901,2025-04-09 16:44:04.570,0.49974,10.0
10121,2025-04-09 16:44:04.575,0.48033,10.0
10341,2025-04-09 16:44:04.580,0.41411,10.0
10561,2025-04-09 16:44:04.585,0.30754,10.0
10781,2025-04-09 16:44:04.590,0.171,10.0
