Sample Number,Timestamp,Temperature (°C),Pressure (hPa),Humidity (%)
1,2025-04-09 16:44:05.186,24.714,1002.95,35.62
5,2025-04-09 16:44:05.300,24.786,1002.93,35.64
2,2025-04-09 16:44:05.386,24.807,573.29,35.58
6,2025-04-09 16:44:05.459,-31.554,1002.94,35.52
3,2025-04-09 16:44:05.589,24.791,1002.93,35.62
7,2025-04-09 16:44:05.661,24.791,1002.94,35.52
4,2025-04-09 16:44:05.786,24.788,1002.95,35.59
8,2025-04-09 16:44:05.902,24.843,1002.94,35.62
5,2025-04-09 16:44:05.986,24.836,1002.91,35.59
9,2025-04-09 16:44:06.100,24.901,1002.96,35.6
6,2025-04-09 16:44:06.186,24.882,1002.98,35.58
10,2025-04-09 16:44:06.299,24.918,1003.0,35.58
7,2025-04-09 16:44:06.390,-50.976,596.15,35.56
11,2025-04-09 16:44:06.392,-28.259,907.24,35.56
12,2025-04-09 16:44:06.659,24.827,982.19,35.58
8,2025-04-09 16:44:06.660,24.827,1002.97,35.58
9,2025-04-09 16:44:06.788,-28.259,929.03,35.59
13,2025-04-09 16:44:06.790,-73.074,1002.97,35.59
10,2025-04-09 16:44:06.988,-28.259,925.45,35.64
14,2025-04-09 16:44:06.991,-73.688,1002.95,35.64
11,2025-04-09 16:44:07.186,24.803,1002.94,35.59
15,2025-04-09 16:44:07.297,24.872,1002.96,35.59
16,2025-04-09 16:44:07.459,24.867,1002.98,35.56
12,2025-04-09 16:44:07.463,24.867,1002.98,35.56
13,2025-04-09 16:44:07.587,24.824,1002.97,35.56
17,2025-04-09 16:44:07.700,24.891,1002.98,35.54
14,2025-04-09 16:44:07.789,-28.259,905.55,35.53
18,2025-04-09 16:44:07.790,-54.046,1003.0,35.53
15,2025-04-09 16:44:07.988,-28.259,918.68,35.55
19,2025-04-09 16:44:07.991,-67.55,1002.97,35.55
16,2025-04-09 16:44:08.189,-116.234,527.26,35.53
20,2025-04-09 16:44:08.191,-117.461,948.48,35.53
17,2025-04-09 16:44:08.387,24.819,1002.96,35.55
21,2025-04-09 16:44:08.503,24.882,1002.94,35.54
18,2025-04-09 16:44:08.591,-116.234,526.99,35.51
22,2025-04-09 16:44:08.594,-117.461,948.4,35.51
19,2025-04-09 16:44:08.788,24.834,1002.96,35.52
23,2025-04-09 16:44:08.904,24.891,1002.96,35.53
20,2025-04-09 16:44:08.988,24.887,1002.99,35.46
24,2025-04-09 16:44:09.103,24.93,1002.96,35.5
21,2025-04-09 16:44:09.263,24.908,608.23,35.52
25,2025-04-09 16:44:09.264,24.935,907.16,35.52
26,2025-04-09 16:44:09.505,24.947,1002.96,35.3
22,2025-04-09 16:44:09.506,24.913,1552.13,35.3
23,2025-04-09 16:44:09.596,-32.556,600.82,35.46
27,2025-04-09 16:44:09.597,-28.259,907.18,35.46
24,2025-04-09 16:44:09.907,24.913,1002.96,35.27
28,2025-04-09 16:44:09.908,24.942,971.78,35.27
25,2025-04-09 16:44:10.047,24.899,1002.93,35.49
29,2025-04-09 16:44:10.106,24.937,1002.94,35.32
26,2025-04-09 16:44:10.196,-33.17,602.84,35.43
30,2025-04-09 16:44:10.197,-28.259,907.18,35.43
31,2025-04-09 16:44:10.435,24.884,890.83,35.48
27,2025-04-09 16:44:10.436,-52.818,1002.95,35.48
28,2025-04-09 16:44:10.667,24.944,1002.96,35.28
32,2025-04-09 16:44:10.668,24.906,1002.96,35.28
29,2025-04-09 16:44:10.833,24.949,594.16,35.53
33,2025-04-09 16:44:10.835,24.884,907.22,35.53
34,2025-04-09 16:44:11.030,24.911,590.86,35.48
30,2025-04-09 16:44:11.038,-31.538,1002.99,35.48
35,2025-04-09 16:44:11.232,24.911,1495.09,35.49
