Parameter,Value
Start Frequency,10.0
End Frequency,100.0
Frequency Duration,1.0
Smooth Transition,True
Pause Duration,1.0
Amplitude,0.85
Frequency Step,10.0
Total Duration,10.0
Gradual Amplitude Increase,False
Amplitude Rise Time,0.5
Amplitude Start,0.1
Amplitude End,0.2
Sample Rate,96000

Sample Number,Timestamp,Sine value,Frequency (Hz)
1,2025-04-09 15:28:22.058,0.0,10.0
481,2025-04-09 15:28:22.063,0.26381,10.05
961,2025-04-09 15:28:22.068,0.5035,10.09
1441,2025-04-09 15:28:22.073,0.69397,10.14
1921,2025-04-09 15:28:22.078,0.81413,10.18
2401,2025-04-09 15:28:22.083,0.84947,10.23
2881,2025-04-09 15:28:22.088,0.79399,10.27
3361,2025-04-09 15:28:22.093,0.65143,10.32
3841,2025-04-09 15:28:22.098,0.43544,10.36
4321,2025-04-09 15:28:22.103,0.16858,10.41
4801,2025-04-09 15:28:22.108,-0.11977,10.45
5281,2025-04-09 15:28:22.113,-0.39644,10.5
5761,2025-04-09 15:28:22.118,-0.62833,10.54
6241,2025-04-09 15:28:22.123,-0.78637,10.59
6721,2025-04-09 15:28:22.128,-0.84942,10.63
7201,2025-04-09 15:28:22.133,-0.80736,10.68
7681,2025-04-09 15:28:22.138,-0.66303,10.72
8161,2025-04-09 15:28:22.143,-0.43257,10.77
8641,2025-04-09 15:28:22.148,-0.14403,10.81
9121,2025-04-09 15:28:22.153,0.1657,10.86
9601,2025-04-09 15:28:22.158,0.45545,10.9
10081,2025-04-09 15:28:22.163,0.68522,10.95
10561,2025-04-09 15:28:22.168,0.82182,10.99
11041,2025-04-09 15:28:22.173,0.84393,11.04
11521,2025-04-09 15:28:22.178,0.74589,11.08
12001,2025-04-09 15:28:22.183,0.53923,11.13
12481,2025-04-09 15:28:22.188,0.25197,11.17
12961,2025-04-09 15:28:22.193,-0.07481,11.22
13441,2025-04-09 15:28:22.198,-0.39254,11.26
13921,2025-04-09 15:28:22.203,-0.65229,11.31
14401,2025-04-09 15:28:22.208,-0.81242,11.35
14881,2025-04-09 15:28:22.213,-0.84559,11.4
15361,2025-04-09 15:28:22.218,-0.74383,11.44
15841,2025-04-09 15:28:22.223,-0.52086,11.49
16321,2025-04-09 15:28:22.228,-0.21087,11.53
16801,2025-04-09 15:28:22.233,0.13627,11.58
17281,2025-04-09 15:28:22.238,0.46265,11.62
17761,2025-04-09 15:28:22.243,0.71197,11.67
18241,2025-04-09 15:28:22.248,0.83945,11.71
18721,2025-04-09 15:28:22.253,0.82026,11.76
19201,2025-04-09 15:28:22.258,0.65493,11.8
19681,2025-04-09 15:28:22.263,0.37047,11.85
20161,2025-04-09 15:28:22.268,0.01655,11.89
20641,2025-04-09 15:28:22.273,-0.34259,11.94
21121,2025-04-09 15:28:22.278,-0.63971,11.98
21601,2025-04-09 15:28:22.283,-0.81718,12.03
22081,2025-04-09 15:28:22.288,-0.8386,12.07
22561,2025-04-09 15:28:22.293,-0.69688,12.12
23041,2025-04-09 15:28:22.298,-0.41696,12.16
23521,2025-04-09 15:28:22.303,-0.05217,12.21
24001,2025-04-09 15:28:22.308,0.32528,12.25
24481,2025-04-09 15:28:22.313,0.63839,12.3
24961,2025-04-09 15:28:22.318,0.82113,12.34
25441,2025-04-09 15:28:22.323,0.83285,12.39
25921,2025-04-09 15:28:22.328,0.66801,12.43
26401,2025-04-09 15:28:22.333,0.35889,12.48
26881,2025-04-09 15:28:22.338,-0.02991,12.52
27361,2025-04-09 15:28:22.343,-0.41428,12.57
27841,2025-04-09 15:28:22.348,-0.70867,12.61
28321,2025-04-09 15:28:22.353,-0.84528,12.66
28801,2025-04-09 15:28:22.358,-0.79031,12.7
