Czas startu pomiaru,Częstotliwość [Hz],Czas trwania [s],Zakres [g],Skala divisor,Czas próbkowania [s]
2025-04-08 00:39:39.394536,50,10,16,1365,0.005
Minimalne przemieszczenie [mm],Maksymalne przemieszczenie [mm]
-258.84249084249024,227.60439560439622
Czas [UTC],Numer próbki,Droga [mm],Wartość sygnału audio
2025-04-08 00:39:50.303609,0,227.60439560439622,0.0
2025-04-08 00:39:50.310375,1,224.6739926739933,0.0007123732611891464
2025-04-08 00:39:50.317117,2,-258.84249084249024,0.0014247103707103136
2025-04-08 00:39:50.323823,3,116.24908424908486,0.002136975178730155
2025-04-08 00:39:50.330204,4,116.24908424908486,0.002849131539084497
2025-04-08 00:39:50.336523,5,201.23076923076982,0.0035611433111126887
2025-04-08 00:39:50.342863,6,201.23076923076982,0.004272974361491678
2025-04-08 00:39:50.349170,7,-197.3040293040287,0.004984588566069717
2025-04-08 00:39:50.355272,8,127.9706959706966,0.005695949811699588
2025-04-08 00:39:50.361338,9,127.9706959706966,0.006407021998071293
2025-04-08 00:39:50.367422,10,-62.505494505493864,0.00711776903954407
2025-04-08 00:39:50.373533,11,-62.505494505493864,0.00782815486697768
2025-04-08 00:39:50.379757,12,40.05860805860867,0.008538143429562847
2025-04-08 00:39:50.385851,13,-15.619047619046977,0.009247698696650784
2025-04-08 00:39:50.391913,14,-15.619047619046977,0.009956784659581667
2025-04-08 00:39:50.397956,15,0.0,0.010665365333512016
2025-04-08 00:39:50.403999,16,0.0,0.011373404759240873
2025-04-08 00:39:50.410101,17,-12.688644688644057,0.012080867005034645
2025-04-08 00:39:50.416177,18,0.0,0.012787716168450603
2025-04-08 00:39:50.422234,19,0.0,0.013493916378158836
2025-04-08 00:39:50.428316,20,0.0,0.01419943179576268
2025-04-08 00:39:50.434439,21,0.0,0.014904226617617445
2025-04-08 00:39:50.440524,22,10.754578754579358,0.015608265076647386
2025-04-08 00:39:50.446560,23,0.0,0.016311511444160813
2025-04-08 00:39:50.452645,24,0.0,0.017013930031663262
2025-04-08 00:39:50.458801,25,0.0,0.017715485192668638
2025-04-08 00:39:50.464920,26,0.0,0.01841614132450817
2025-04-08 00:39:50.471012,27,0.0,0.01911586287013723
2025-04-08 00:39:50.477091,28,0.0,0.01981461431993976
2025-04-08 00:39:50.483211,29,0.0,0.020512360213530326
2025-04-08 00:39:50.489312,30,0.0,0.02120906514155367
2025-04-08 00:39:50.495413,31,16.615384615385253,0.02190469374748168
2025-04-08 00:39:50.501490,32,0.0,0.022599210729407668
2025-04-08 00:39:50.507578,33,0.0,0.02329258084183786
2025-04-08 00:39:50.513671,34,0.0,0.023984768897480066
2025-04-08 00:39:50.519754,35,0.0,0.024675739769029367
2025-04-08 00:39:50.525831,36,0.0,0.02536545839095074
2025-04-08 00:39:50.531939,37,0.0,0.026053889761258605
2025-04-08 00:39:50.538022,38,0.0,0.026740998943293105
2025-04-08 00:39:50.544125,39,0.0,0.027426751067493045
2025-04-08 00:39:50.550222,40,0.0,0.028111111333165503
2025-04-08 00:39:50.556356,41,0.0,0.02879404501025189
2025-04-08 00:39:50.562469,42,0.0,0.02947551744109042
2025-04-08 00:39:50.568612,43,0.0,0.03015549404217496
2025-04-08 00:39:50.574767,44,0.0,0.030833940305910038
2025-04-08 00:39:50.580881,45,0.0,0.031510821802362074
2025-04-08 00:39:50.586996,46,0.0,0.03218610418100662
2025-04-08 00:39:50.593125,47,0.0,0.032859753172471605
2025-04-08 00:39:50.599248,48,0.0,0.03353173459027643
2025-04-08 00:39:50.605357,49,0.0,0.03420201433256687
2025-04-08 00:39:50.611496,50,0.0,0.0348705583838457
2025-04-08 00:39:50.617675,51,0.0,0.03553733281669888
2025-04-08 00:39:50.623799,52,0.0,0.036202303793517375
2025-04-08 00:39:50.629915,53,0.0,0.03686543756821427
2025-04-08 00:39:50.636027,54,0.0,0.03752670048793741
2025-04-08 00:39:50.642151,55,0.0,0.03818605899477718
2025-04-08 00:39:50.648343,56,0.0,0.03884347962746948
2025-04-08 00:39:50.654439,57,0.0,0.03949892902309386
2025-04-08 00:39:50.660518,58,0.0,0.040152373918766665
2025-04-08 00:39:50.666618,59,0.0,0.04080378115332897
2025-04-08 00:39:50.672696,60,10.754578754579358,0.04145311766902954
2025-04-08 00:39:50.678773,61,0.0,0.042100350513202406
2025-04-08 00:39:50.684865,62,0.0,0.04274544683993915
2025-04-08 00:39:50.690953,63,0.0,0.04338837391175582
2025-04-08 00:39:50.697036,64,0.0,0.044029099101254236
2025-04-08 00:39:50.703119,65,0.0,0.04466758989277782
2025-04-08 00:39:50.709197,66,0.0,0.0453038138840617
2025-04-08 00:39:50.715277,67,0.0,0.04593773878787704
2025-04-08 00:39:50.721376,68,0.0,0.0465693324336696
2025-04-08 00:39:50.727452,69,0.0,0.04719856276919231
2025-04-08 00:39:50.733554,70,0.0,0.04782539786213183
2025-04-08 00:39:50.739677,71,0.0,0.048449805901729134
2025-04-08 00:39:50.745754,72,0.0,0.0490717552003938
2025-04-08 00:39:50.751842,73,0.0,0.04969121419531209
2025-04-08 00:39:50.757919,74,0.0,0.050308151450048744
2025-04-08 00:39:50.764006,75,0.0,0.05092253565614231
2025-04-08 00:39:50.770088,76,0.0,0.05153433563469398
2025-04-08 00:39:50.776174,77,0.0,0.05214352033794981
2025-04-08 00:39:50.782249,78,0.0,0.0527500588508765
2025-04-08 00:39:50.788327,79,-12.688644688644057,0.05335392039273007
2025-04-08 00:39:50.794400,80,0.0,0.053955074318618124
2025-04-08 00:39:50.800475,81,0.0,0.05455349012105487
2025-04-08 00:39:50.806550,82,0.0,0.05514913743150939
2025-04-08 00:39:50.812651,83,0.0,0.05574198602194679
2025-04-08 00:39:50.818753,84,0.0,0.05633200580636221
2025-04-08 00:39:50.824851,85,0.0,0.05691916684230761
2025-04-08 00:39:50.830939,86,0.0,0.057503439332411345
2025-04-08 00:39:50.837015,87,0.0,0.05808479362589029
2025-04-08 00:39:50.843094,88,0.0,0.05866320022005456
2025-04-08 00:39:50.849242,89,0.0,0.05923862976180479
2025-04-08 00:39:50.855362,90,0.0,0.05981105304912161
2025-04-08 00:39:50.861475,91,0.0,0.06038044103254775
2025-04-08 00:39:50.867591,92,0.0,0.06094676481666215
2025-04-08 00:39:50.873715,93,0.0,0.06150999566154639
2025-04-08 00:39:50.879830,94,0.0,0.0620701049842432
2025-04-08 00:39:50.885942,95,0.0,0.06262706436020694
2025-04-08 00:39:50.892065,96,0.0,0.06318084552474613
2025-04-08 00:39:50.898174,97,0.0,0.06373142037445786
2025-04-08 00:39:50.904294,98,0.0,0.06427876096865393
2025-04-08 00:39:50.910408,99,0.0,0.06482283953077884
2025-04-08 00:39:50.916546,100,0.0,0.06536362844981937
2025-04-08 00:39:50.922732,101,0.0,0.06590110028170579
2025-04-08 00:39:50.928849,102,0.0,0.06643522775070461
2025-04-08 00:39:50.934958,103,0.0,0.06696598375080279
2025-04-08 00:39:50.941082,104,0.0,0.06749334134708328
2025-04-08 00:39:50.947221,105,0.0,0.06801727377709195
2025-04-08 00:39:50.953309,106,0.0,0.06853775445219572
2025-04-08 00:39:50.959384,107,0.0,0.0690547569589319
2025-04-08 00:39:50.965461,108,0.0,0.06956825506034864
2025-04-08 00:39:50.971538,109,0.0,0.07007822269733635
2025-04-08 00:39:50.977612,110,0.0,0.07058463398995021
2025-04-08 00:39:50.983694,111,0.0,0.0710874632387235
2025-04-08 00:39:50.989776,112,0.0,0.07158668492597185
2025-04-08 00:39:50.995864,113,0.0,0.07208227371708813
2025-04-08 00:39:51.001947,114,0.0,0.0725742044618282
2025-04-08 00:39:51.008038,115,0.0,0.07306245219558727
2025-04-08 00:39:51.014150,116,0.0,0.07354699214066672
2025-04-08 00:39:51.020240,117,0.0,0.07402779970753155
2025-04-08 00:39:51.026315,118,0.0,0.07450485049605836
2025-04-08 00:39:51.032396,119,0.0,0.07497812029677342
2025-04-08 00:39:51.038724,120,0.0,0.07544758509208144
2025-04-08 00:39:51.044825,121,0.0,0.07591322105748433
2025-04-08 00:39:51.050912,122,-12.688644688644057,0.07637500456279023
2025-04-08 00:39:51.057044,123,-12.688644688644057,0.07683291217331278
2025-04-08 00:39:51.063155,124,0.0,0.07728692065106031
2025-04-08 00:39:51.069300,125,0.0,0.07773700695591518
2025-04-08 00:39:51.075581,126,0.0,0.07818314824680299
2025-04-08 00:39:51.081913,127,0.0,0.07862532188285173
2025-04-08 00:39:51.088103,128,0.0,0.07906350542454083
2025-04-08 00:39:51.094229,129,0.0,0.07949767663483978
2025-04-08 00:39:51.100348,130,0.0,0.07992781348033677
2025-04-08 00:39:51.106463,131,0.0,0.08035389413235675
2025-04-08 00:39:51.112576,132,0.0,0.08077589696806925
2025-04-08 00:39:51.118733,133,0.0,0.08119380057158565
2025-04-08 00:39:51.124855,134,0.0,0.08160758373504608
2025-04-08 00:39:51.130975,135,0.0,0.08201722545969559
2025-04-08 00:39:51.137090,136,0.0,0.08242270495694982
2025-04-08 00:39:51.143242,137,0.0,0.08282400164945006
2025-04-08 00:39:51.149445,138,0.0,0.08322109517210739
2025-04-08 00:39:51.155725,139,0.0,0.08361396537313626
2025-04-08 00:39:51.161985,140,0.0,0.08400259231507715
2025-04-08 00:39:51.168220,141,0.0,0.08438695627580833
2025-04-08 00:39:51.174498,142,0.0,0.08476703774954675
2025-04-08 00:39:51.180601,143,0.0,0.08514281744783789
2025-04-08 00:39:51.186726,144,0.0,0.08551427630053463
2025-04-08 00:39:51.192810,145,0.0,0.08588139545676506
2025-04-08 00:39:51.198956,146,0.0,0.08624415628588906
2025-04-08 00:39:51.205038,147,0.0,0.08660254037844388
2025-04-08 00:39:51.211163,148,0.0,0.0869565295470782
2025-04-08 00:39:51.217319,149,0.0,0.08730610582747536
2025-04-08 00:39:51.223449,150,0.0,0.08765125147926478
2025-04-08 00:39:51.229545,151,0.0,0.08799194898692236
2025-04-08 00:39:51.235680,152,0.0,0.08832818106065944
2025-04-08 00:39:51.241773,153,0.0,0.08865993063730002
2025-04-08 00:39:51.247914,154,0.0,0.08898718088114688
2025-04-08 00:39:51.253998,155,0.0,0.08930991518483584
2025-04-08 00:39:51.260078,156,0.0,0.08962811717017868
2025-04-08 00:39:51.266157,157,0.0,0.08994177068899413
2025-04-08 00:39:51.272251,158,0.0,0.09025085982392751
2025-04-08 00:39:51.278340,159,0.0,0.09055536888925844
2025-04-08 00:39:51.284418,160,0.0,0.09085528243169688
2025-04-08 00:39:51.290499,161,0.0,0.09115058523116731
2025-04-08 00:39:51.296576,162,0.0,0.09144126230158126
2025-04-08 00:39:51.302735,163,0.0,0.09172729889159761
2025-04-08 00:39:51.309061,164,0.0,0.0920086804853714
2025-04-08 00:39:51.315415,165,0.0,0.09228539280329037
2025-04-08 00:39:51.321871,166,0.0,0.09255742180269966
2025-04-08 00:39:51.328201,167,0.0,0.09282475367861442
2025-04-08 00:39:51.334572,168,0.0,0.09308737486442042
2025-04-08 00:39:51.340977,169,0.0,0.09334527203256256
2025-04-08 00:39:51.347277,170,0.0,0.09359843209522112
2025-04-08 00:39:51.353596,171,0.0,0.09384684220497605
2025-04-08 00:39:51.359783,172,0.0,0.09409048975545886
2025-04-08 00:39:51.365972,173,0.0,0.09432936238199251
2025-04-08 00:39:51.372238,174,0.0,0.09456344796221867
2025-04-08 00:39:51.378512,175,0.0,0.09479273461671317
2025-04-08 00:39:51.385020,176,0.0,0.09501721070958868
2025-04-08 00:39:51.391311,177,0.0,0.09523686484908522
2025-04-08 00:39:51.397614,178,0.0,0.0954516858881484
2025-04-08 00:39:51.403778,179,0.0,0.09566166292499495
2025-04-08 00:39:51.409850,180,0.0,0.09586678530366607
2025-04-08 00:39:51.415918,181,0.0,0.0960670426145682
2025-04-08 00:39:51.421969,182,0.0,0.09626242469500122
2025-04-08 00:39:51.427998,183,0.0,0.09645292162967424
2025-04-08 00:39:51.434017,184,0.0,0.09663852375120882
2025-04-08 00:39:51.440044,185,0.0,0.09681922164062945
2025-04-08 00:39:51.446072,186,0.0,0.09699500612784168
2025-04-08 00:39:51.452094,187,0.0,0.0971658682920974
2025-04-08 00:39:51.458136,188,0.0,0.0973317994624476
2025-04-08 00:39:51.464213,189,0.0,0.09749279121818237
2025-04-08 00:39:51.470251,190,0.0,0.09764883538925823
2025-04-08 00:39:51.476287,191,0.0,0.09779992405671283
2025-04-08 00:39:51.482324,192,0.0,0.09794604955306668
2025-04-08 00:39:51.488359,193,0.0,0.09808720446271241
2025-04-08 00:39:51.494394,194,0.0,0.09822338162229097
2025-04-08 00:39:51.500428,195,0.0,0.09835457412105528
2025-04-08 00:39:51.506461,196,0.0,0.0984807753012208
2025-04-08 00:39:51.512527,197,0.0,0.09860197875830357
2025-04-08 00:39:51.518575,198,0.0,0.09871817834144503
2025-04-08 00:39:51.524625,199,0.0,0.09882936815372431
2025-04-08 00:39:51.530667,200,0.0,0.09893554255245748
2025-04-08 00:39:51.536736,201,0.0,0.09903669614948381
2025-04-08 00:39:51.542789,202,0.0,0.09913282381143933
2025-04-08 00:39:51.548834,203,0.0,0.09922392066001721
2025-04-08 00:39:51.554873,204,0.0,0.09930998207221547
2025-04-08 00:39:51.561087,205,0.0,0.09939100368057144
2025-04-08 00:39:51.567221,206,0.0,0.09946698137338354
2025-04-08 00:39:51.573343,207,0.0,0.09953791129491983
2025-04-08 00:39:51.579501,208,0.0,0.09960378984561374
