Parameter,Value
Start Frequency,10
End Frequency,150
Frequency Duration,1
Smooth Transition,False
Pause Duration,0.5
Amplitude,0.2
Frequency Step,5
Total Duration,10
Gradual Amplitude Increase,False
Amplitude Rise Time,0.5
Amplitude Start,0.05
Amplitude End,0.5
Sample Rate,96000

Sample Number,Timestamp,Sine value,Frequency (Hz)
1,2025-04-08 22:18:11.519,0.0,10
481,2025-04-08 22:18:11.524,0.0618,10
961,2025-04-08 22:18:11.529,0.11756,10
1441,2025-04-08 22:18:11.534,0.1618,10
1921,2025-04-08 22:18:11.539,0.19021,10
2401,2025-04-08 22:18:11.544,0.2,10
2881,2025-04-08 22:18:11.549,0.19021,10
3361,2025-04-08 22:18:11.554,0.1618,10
3841,2025-04-08 22:18:11.559,0.11756,10
4321,2025-04-08 22:18:11.564,0.0618,10
4801,2025-04-08 22:18:11.569,0.0,10
5281,2025-04-08 22:18:11.574,-0.0618,10
5761,2025-04-08 22:18:11.579,-0.11756,10
6241,2025-04-08 22:18:11.584,-0.1618,10
6721,2025-04-08 22:18:11.589,-0.19021,10
7201,2025-04-08 22:18:11.594,-0.2,10
7681,2025-04-08 22:18:11.599,-0.19021,10
8161,2025-04-08 22:18:11.604,-0.1618,10
8641,2025-04-08 22:18:11.609,-0.11756,10
9121,2025-04-08 22:18:11.614,-0.0618,10
9601,2025-04-08 22:18:11.619,-0.0,10
10081,2025-04-08 22:18:11.624,0.0618,10
10561,2025-04-08 22:18:11.629,0.11756,10
11041,2025-04-08 22:18:11.634,0.1618,10
11521,2025-04-08 22:18:11.639,0.19021,10
12001,2025-04-08 22:18:11.644,0.2,10
12481,2025-04-08 22:18:11.649,0.19021,10
12961,2025-04-08 22:18:11.654,0.1618,10
13441,2025-04-08 22:18:11.659,0.11756,10
13921,2025-04-08 22:18:11.664,0.0618,10
14401,2025-04-08 22:18:11.669,0.0,10
14881,2025-04-08 22:18:11.674,-0.0618,10
15361,2025-04-08 22:18:11.679,-0.11756,10
15841,2025-04-08 22:18:11.684,-0.1618,10
16321,2025-04-08 22:18:11.689,-0.19021,10
16801,2025-04-08 22:18:11.694,-0.2,10
17281,2025-04-08 22:18:11.699,-0.19021,10
17761,2025-04-08 22:18:11.704,-0.1618,10
18241,2025-04-08 22:18:11.709,-0.11756,10
