Sample Number,Timestamp,Temperature (°C),Pressure (hPa),Humidity (%)
1,2025-04-08 22:19:29.089,24.697,1007.36,45.91
2,2025-04-08 22:19:29.290,24.762,1007.34,45.88
3,2025-04-08 22:19:29.490,24.791,1007.34,45.87
4,2025-04-08 22:19:29.690,24.793,1007.34,45.87
5,2025-04-08 22:19:29.890,24.803,1007.37,45.85
6,2025-04-08 22:19:30.090,24.815,1007.36,45.82
7,2025-04-08 22:19:30.290,24.805,1007.35,45.83
8,2025-04-08 22:19:30.491,24.807,1007.37,45.82
9,2025-04-08 22:19:30.690,24.815,1007.38,45.82
10,2025-04-08 22:19:30.891,24.817,1007.39,45.79
11,2025-04-08 22:19:31.090,24.822,1007.38,45.78
12,2025-04-08 22:19:31.290,24.815,1007.38,45.79
13,2025-04-08 22:19:31.491,24.819,1007.39,45.75
14,2025-04-08 22:19:31.691,24.819,1007.37,45.76
15,2025-04-08 22:19:31.893,24.822,1007.39,45.77
16,2025-04-08 22:19:32.091,24.817,1007.34,45.75
17,2025-04-08 22:19:32.291,24.824,1007.37,45.76
18,2025-04-08 22:19:32.492,24.829,1007.38,45.76
19,2025-04-08 22:19:32.692,24.829,1007.38,45.73
20,2025-04-08 22:19:32.891,24.824,1007.38,45.71
21,2025-04-08 22:19:33.091,24.824,1007.4,45.71
22,2025-04-08 22:19:33.292,24.822,1007.4,45.73
23,2025-04-08 22:19:33.492,24.827,1007.39,45.71
24,2025-04-08 22:19:33.692,24.822,1007.4,45.68
25,2025-04-08 22:19:33.891,24.836,1007.4,45.66
26,2025-04-08 22:19:34.091,24.829,1007.38,45.68
27,2025-04-08 22:19:34.293,24.836,1007.4,45.69
28,2025-04-08 22:19:34.491,24.834,1007.39,45.67
29,2025-04-08 22:19:34.690,24.834,1007.4,45.67
30,2025-04-08 22:19:34.894,24.836,1007.38,45.66
31,2025-04-08 22:19:35.094,24.831,1007.39,45.63
32,2025-04-08 22:19:35.294,24.831,1007.4,45.64
33,2025-04-08 22:19:35.491,24.834,1007.39,45.63
34,2025-04-08 22:19:35.694,24.831,1007.39,45.64
35,2025-04-08 22:19:35.891,24.834,1007.37,45.63
36,2025-04-08 22:19:36.094,24.836,1007.39,45.63
37,2025-04-08 22:19:36.292,24.831,1007.41,45.61
38,2025-04-08 22:19:36.491,24.836,1007.38,45.63
39,2025-04-08 22:19:36.693,24.831,1007.37,45.61
40,2025-04-08 22:19:36.895,24.827,1007.38,45.63
41,2025-04-08 22:19:37.094,24.834,1007.38,45.62
42,2025-04-08 22:19:37.295,24.831,1007.39,45.62
